URL,Version,Status,OIDs,Name,Title,Description,Used
http://jpfhir.jp/fhir/core/CodeSystem/GCM/JP_JfagyMedicationAllergen_CS,2025.5.1,active,,JP_JfagyMedicationAllergenGCM_CS,JP Core JFAGY GCM Medication Allergen CodeSystem,"JFAGY GCM 薬剤アレルギー等 「剤形・規格・銘柄不明コードマスタ」","ValueSet/jp-allergyintolerance-vs"
http://jpfhir.jp/fhir/core/CodeSystem/HL70241,1.2.0,active,,JP_ConditionDieaseOutcomeHL70241_CS,JP Core Condition Disease Outcome HL7 Table 0241 - Patient Outcome CodeSystem,"HL7表0241-Patient Outcome コードシステム","ValueSet/jp-condition-disease-outcome-hl70241-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JHSD0006,1.0.0,active,,JP_ConditionDieaseOutcomeJHSD0006_CS,JP Core Condition Disease Outcome JHSD0006 CodeSystem,"JAHIS病名情報データ交換規約Ver.3.1C JHSD表00006-転帰区分 コードシステム","ValueSet/jp-condition-disease-outcome-jhsd0006-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JHSI0001,1.1.1,active,,JP_MedicationCategoryJHSI0001_CS,JP Core Medication JHSI0001 Category CodeSystem,"JAHIS注射データ交換規約Ver.2.1C JHSI表0001処方区分コードのコードシステム","ValueSet/jp-medicationcategoryinjection-vs,ValueSet/jp-medicationcategory-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JHSP0002,1.1.1,active,,JP_MedicationInstructionForDispenseJHSP0002_CS,JP Core Medication JHSP0002 Instruction For Dispense CodeSystem,"JAHIS処方データ交換規約Ver.3.0C JHSP表0002調剤特別指示のコードシステム","ValueSet/jp-medicationinstructionfordispensejhsp0002-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JHSP0007,1.1.1,active,,JP_MedicationCategoryJHSP0007_CS,JP Core Medication JHSP0007 Category CodeSystem,"JAHIS処方データ交換規約Ver.3.0C JHSP表0007処方区分コードのコードシステム","ValueSet/jp-medicationcategoryinjection-vs,ValueSet/jp-medicationcategory-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_BodySite_CS,0.0.1,active,,JP_BodySite_CS,JP Core BodySite CodeSystem,"処置の対象となる身体部位のコード（今後用語を実装予定）","ValueSet/jp-observation-bodysite-vs,ValueSet/jp-condition-bodysite-vs,ValueSet/jp-imagingstudy-radiology-bodysite-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ConditionDiseaseOutcomeReceipt_CS,1.2.0,active,,JP_ConditionDieaseOutcomeReceipt_CS,JP Core Condition Disease Outcome Receipt CodeSystem,"レセプト電算システム 転帰区分 コードシステム","ValueSet/jp-condition-disease-outcome-receipt-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_ConditionSeverity_CS,1.1.1,active,,JP_ConditionSeverity_CS,JP Core Condition Severity CodeSystem,"Conditionの重症度を示すコードシステム（HL70421 Severity of Illness Code）","ValueSet/jp-condition-severity-vs"
http://jpfhir.jp/fhir/core/CodeSystem/JP_DentalBodySiteStatus_CS,1.2.0,active,,JP_DentalBodySiteStatus_CS,JP Core Dental BodySiteStatus CodeSystem,"JP Coreにて定義した歯科のObservationリソースに関する身体部位状態コード","ValueSet/jp-dental-bodysitestatus-vs"
